Species,SpecCode,CommonName,ITOFF.Group,Kingdom,Phylum,Class,Order,Family,Genus,System,Group,Status,EstabwildSuccess,Means_Introduction,IUCN_Status,Polar,Boreal,Temperate,SubTropical,Tropical,Impacting,Impacted_by,ReproMode,Fertilization,RepGuild1,RepGuild2,Spawning,MeanFecundity,MinFecundity,MaxFecundity,BroodSize,AgeMaturity_Years_Estimate,MeanAgeMaturity_Years,GenerationTime_Years_Estimate,TrophicLevel_Estimate,TrophicLevel,FeedingType,Relative_BrainWeight,Longevity_Years_Estimate,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,TolerableTemp_min,TolerableTemp_max,Temp_Range_tolerable,Sources
Anostomus anostomus,10766,Striped headstander,1,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Anostomus,Freshwater_Brackish_Marine,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,guarders,nesters,,,,,,1.3,,1.8,,2.96,variable,,4.7,,,,22,28,6,,,,FishBase
Aphanius fasciatus,4834,Mediterranean banded killifish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aphaniidae,Aphanius,Freshwater_Brackish_Marine,Nonnative,Established,1,,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,0.800000012,1,,2.66,grazer,,2.3,,,4.683333357,10,24,14,,,,FishBase
Apistogramma arua,51778,,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,guarders,clutch tenders,,,,,,,,,3.3,,,,,,,,,,,,,,FishBase
Aplocheilus lineatus,4690,Striped panchax,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Aplocheilus,Freshwater_Brackish,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3.8,,,,,,,10,22,25,3,,,,FishBase
Aulonocara baenschi,2179,Nkhomo-benga peacock,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Aulonocara,Freshwater,Nonnative,Reported,,Ornamental,CR,,,,,1,,,dioecism,in mouth,bearers,external brooders,,,,,,0.9,,1.2,,3.5,predator,,3.2,,,,22,26,4,,,,FishBase
Aulonocara hansbaenschi,2182,Aulonocara Fort Maguire,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Aulonocara,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,in mouth,bearers,external brooders,,,,60,,0.8,,1,,3.5,predator,,2.5,,,,23,27,4,,,,FishBase
Babka gymnotrachelus,16309,Racer goby,1,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Babka,Freshwater_Brackish,Nonnative,Invasive,1,Diffused from other countries,LC,,1,1,1,,,,dioecism,external,guarders,clutch tenders,,1298.5,361,2236,,1.3,,1.4,,3.5,predator,,,5,,16,4,20,16,,,,FishBase
Ballerus sapa,23045,White-eye bream,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Ballerus,Freshwater_Brackish,Nonnative,Reported,,Accidental,LC,,1,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,100000,,,3.5,9.1,2.9,,,,31.6,,,25,10,25,15,,,,FishBase
Barbatula barbatula,6377,Stone loach,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Nemacheilidae,Barbatula,Freshwater,Nonnative,Established,1,Accidental,LC,,1,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,variable throughout range,,400,,,,2.5,3.3,,3.45,predator,,11.7,,,11,,18,,,,,FishBase
Barbodes binotatus,5180,Spotted barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,Freshwater,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.2,,1.6,,2.69,,,4,,,11.25000032,24,26,2,,,,FishBase
Barbodes lateristriga,10809,Spanner barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.5,,2.1,,3.01,variable,,5.5,,,18.60000038,25,28,3,,,,FishBase
Barbus cyclolepis,25847,Round-scaled barbell,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Freshwater,Nonnative,Established,1,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,9672,624,18720,,,3,7.3,,3.03,,,,6.5,,22.4,,,,,,,FishBase
Barbus meridionalis,5424,Mediterranean barbel,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Freshwater,Nonnative,Reported,0,,NT,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,13519.5,669,26370,,5,,5.8,,2.93,predator,,20.3,,,26.14999962,5,25,20,,,,FishBase
Barbus peloponnesius,25852,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Freshwater,Nonnative,Established,1,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,3.25,6.1,3.1,,,,16.6,,,26,,,,,,,FishBase
Betta bellica,12035,Slim betta,1,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Betta,Freshwater,Nonnative,Established,1,Accidental,LC,,,,,1,,,dioecism,external,guarders,nesters,,,,,,0.7,,0.9,,3.2,,,2.1,,,,24,30,6,,,,FishBase
Betta coccina,25132,,1,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Betta,Freshwater,Nonnative,Reported,,Ornamental,VU,,,,,1,,,dioecism,external,guarders,nesters,,,,,,0.4,,0.6,3.2,,,,1.2,,,,24,27,3,,,,FishBase
Betta pugnax,12042,Penang betta,1,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Betta,Freshwater,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,external,bearers,external brooders,,,,,,,,,3.3,,,,,,,,24,28,4,,,,FishBase
Boraras maculatus,10879,Dwarf rasbora,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Boraras,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,50,,0.5,,0.6,,3.29,predator,,1.3,,,,24,26,2,,,,FishBase
Botia lohachata,12253,Reticulate loach,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Botiidae,Botia,Freshwater,Nonnative,Reported,,Ornamental,LC,,,1,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3.2,,,,,,,10,24,30,6,,,,FishBase
Brevibora dorsiocellata,10368,Eyespot rasbora,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Brevibora,Freshwater,Nonnative,Reported,,Ornamental,EN,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.5,,0.6,,3.24,predator,,1.2,,,,20,25,5,,,,FishBase
Butis koilomatodon,8036,Mud sleeper,1,Animalia,Chordata,Actinopterygii,Gobiiformes,Butidae,Butis,Freshwater_Brackish_Marine,Nonnative,Invasive,1,Accidental with ships,LC,,,,1,1,,,dioecism,external,guarders,nesters,,,,,,0.4,,0.5,,4.01,,,1.3,,,,,,,,,,FishBase
Capoeta capoeta,13157,Seven khramulya,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Freshwater,Nonnative,Failed,0,Fisheries,LC,,,1,1,,,,dioecism,external,nonguarders,,,19806.5,3754,35859,,4.6,,5.5,,2,grazer,,,5.666666667,,,10,22,12,,,,FishBase
Capoeta tinca,48163,Anatolian khramulya,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Freshwater,Nonnative,Failed,0,,LC,,,1,1,,,,dioecism,external,nonguarders,,,15421.5,1723,44008,,,2.25,2.9,2.5,,,,9.9,,,,,,,,,,FishBase
Chelon labrosus,2499,Thicklip grey mullet,1,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,Freshwater_Brackish_Marine,Nonnative,Failed,0,Accidental,LC,1,1,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,3,3.9,,2.59,browser,3.78103938,,18.5,,57.5,,,,,,,FishBase
Chelon ramada,4583,Thinlip grey mullet,1,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,Freshwater_Brackish_Marine,Nonnative,Established,0.333333333,Aquaculture; Accidental with ships,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,442668.375,215292,670044.75,,,3.112499997,3.4,,2.34,variable,,,7,,50.66666667,8,24,16,,,,FishBase
Chilodus punctatus,10779,Spotted headstander,1,Animalia,Chordata,Actinopterygii,Characiformes,Chilodontidae,Chilodus,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,,2.77,variable,,,,,,24,28,4,,,,FishBase
Cleithracara maronii,11136,Keyhole cichlid,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Cleithracara,Freshwater_Brackish,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,guarders,clutch tenders,,,,,500,0.7,,0.9,,3.25,predator,,2.1,,,,22,25,3,,,,FishBase
Cnesterodon decemmaculatus,4753,Ten spotted live-bearer,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,Freshwater_Brackish,Nonnative,Invasive,,Ornamental,,,,,1,1,,,dioecism,internal (oviduct),bearers,internal live bearers,,,,,,,,,3,,,,,,,4.099999905,17,21,4,,,,FishBase
Coptodon guineensis,2488,Guinean tilapia,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Coptodon,Freshwater_Brackish_Marine,Nonnative,Failed,,Aquaculture,LC,,,1,,1,,,dioecism,external,guarders,nesters,,716,504,928,,0.8,,1.1,,2.79,grazer,,2.9,,,32,22,26,4,,,,FishBase
Coregonus widegreni,48137,Valaam whitefish,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Freshwater,Nonnative,Reported,,,,,,1,,,,,dioecism,external,nonguarders,brood hiders,,,,,,,4.444444444,2,3.4,,,,,13.57142857,,54.75,,,,,,,FishBase
Corydoras adolfoi,46040,Adolf's catfish,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3,,,,,,,,22,26,4,,,,FishBase
Corydoras arcuatus,12159,Skunk corydoras,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,in brood pouch or similar structure,nonguarders,brood hiders,,,,,,,,,3,,,,,,,,22,26,4,,,,FishBase
Corydoras julii,10923,Leopard corydoras,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.3,,0.4,,2.98,variable,,1,,,,23,26,3,,,,FishBase
Corydoras melanistius,10924,Bluespotted corydoras,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Freshwater,Nonnative,Failed,0,Ornamental,LC,,,,,1,,,dioecism,in brood pouch or similar structure,nonguarders,brood hiders,,,,,100,0.3,,0.4,,2.84,variable,,1,,,,22,26,4,,,,FishBase
Corydoras rabauti,12195,Rust corydoras,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,in brood pouch or similar structure,nonguarders,brood hiders,,,,,100,0.3,,0.4,,3,variable,,0.9,,,,23,25,2,,,,FishBase
Cottus poecilopus,8419,Alpine bullhead,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Freshwater_Brackish,Nonnative,Reported,,,LC,,1,1,1,,,,dioecism,external,guarders,nesters,,,,,,,3,3.9,,2.98,variable,,,7,,12.80000019,,,,,,,FishBase
Crenicichla lepidota,11159,Pike cichlid,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,1,1,,,dioecism,external,guarders,nesters,,,,,,1.3,,1.8,,3.56,predator,,5,,,14.60000038,23,28,5,,,,FishBase
Crenicichla saxatilis,12312,Ringtail pike cichlid,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Crenicichla,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,guarders,nesters,,,,,,1.5,,2.1,,3.279999971,variable,,5.6,,,,25,30,5,,,,FishBase
Cyrtocara moorii,2221,Hump-head,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Cyrtocara,Freshwater,Nonnative,Reported,,Ornamental,VU,,,,,1,,,dioecism,in mouth,bearers,external brooders,,55,20,90,,1.3,,1.8,3.4,,,,4.7,,,,24,26,2,,,,FishBase
Datnioides microlepis,14506,Finescale tigerfish,1,Animalia,Chordata,Actinopterygii,Acanthuriformes,Lobotidae,Datnioides,Freshwater,Nonnative,Reported,,Fishing recreation,LC,,,,,1,,,dioecism,external,,,,375000,30000,720000,,1.6,,2.1,,3.559999943,predator,,7,,,55,22,26,4,,,,FishBase
Dawkinsia arulius,11275,Arulius barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Dawkinsia,Freshwater,Nonnative,Reported,,Ornamental,EN,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.1,,1.5,2.7,,,,3.7,,,12,19,25,6,,,,FishBase
Dermogenys sumatrana,23407,,1,Animalia,Chordata,Actinopterygii,Beloniformes,Zenarchopteridae,Dermogenys,Freshwater_Brackish,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,internal (oviduct),bearers,internal live bearers,,,,,,,,,3.1,,,,,,,,26,30,4,,,,FishBase
Desmopuntius johorensis,10808,Striped barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Desmopuntius,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.1,,1.5,,2.93,variable,,3.7,,,,23,25,2,,,,FishBase
Distichodus nefasch,11179,,1,Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Distichodus,Freshwater,Nonnative,Invasive,1,Diffused from other countries,VU,,,,,1,,,dioecism,external,guarders,nesters,,,,,,,,,,2,other,,,,,,,,,,,,FishBase
Eleotris fusca,8034,Dusky sleeper,1,Animalia,Chordata,Actinopterygii,Gobiiformes,Eleotridae,Eleotris,Freshwater_Brackish_Marine,Nonnative,Reported,,,LC,,,,1,1,,,dioecism,external,guarders,clutch tenders,,,,,,1.9,,2,,3.62,predator,1.099890858,7.4,,,16.5,25,,,,,,FishBase
Eleotris melanosoma,10013,Broadhead sleeper,1,Animalia,Chordata,Actinopterygii,Gobiiformes,Eleotridae,Eleotris,Freshwater_Brackish_Marine,Nonnative,Established,1,,LC,,,1,1,1,,,dioecism,external,guarders,,,,,,,,,,3.9,,,3.795945476,,,,15.10000006,25,,,,,,FishBase
Epalzeorhynchos bicolor,10835,Redtail sharkminnow,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Epalzeorhynchos,Freshwater,Nonnative,Reported,,Ornamental,CR,,,,,1,,,dioecism,external,nonguarders,,,,,,,1.2,,1.6,,2.96,variable,,4,,,13,22,26,4,,,,FishBase
Fundulus grandis,3191,Gulf killifish,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,Freshwater_Brackish,Nonnative,Failed,0,Control agent,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.6,,0.9,,3.42,,,,2.25,,12.80000019,22,26,4,,,,FishBase
Gambusia dominicensis,4726,Dominican gambusia,1,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Freshwater_Brackish,Nonnative,Established,1,Ornamental,,,,,1,1,,,dioecism,internal (oviduct),bearers,internal live bearers,,,,,,1.8,,2.2,3.2,,,,4.6,,,,22,28,6,,,,FishBase
Gnathonemus petersii,2085,Elephantnose fish,1,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Gnathonemus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,,,,,,,,,2,,2.3,,3.13,predator,32.6466123,7.9,,,,22,28,6,,,,FishBase
Hasemania nana,12360,Silvertip tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hasemania,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3,,,,,,,,22,28,6,,,,FishBase
Hemibarbus labeo,17301,Barbel steed,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hemibarbus,Freshwater,Nonnative,Established,1,Accidental,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,,,,4.5,6,3.5,,,,19.2,,,30.39999962,,,,,,,FishBase
Hemigrammus bleheri,12365,Firehead tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3,,,,,,,,,,,,,,FishBase
Hemigrammus erythrozonus,10642,Glowlight tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.4,,0.6,,2.87,variable,,1.2,,,,24,28,4,,,,FishBase
Hemigrammus hyanuary,12367,January tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.6,,0.7,3,,,,1.6,,,,23,27,4,,,,FishBase
Hemigrammus pulcher,10649,Garnet tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.5,,0.7,,2.83,variable,,1.4,,,,23,27,4,,,,FishBase
Hyphessobrycon erythrostigma,10651,Bleeding-heart tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.9,,1.1,,2.82,variable,,2.6,,,,23,28,5,,,,FishBase
Hyphessobrycon flammeus,10652,Flame tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Freshwater,Nonnative,Reported,,Ornamental,EN,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,265,0.5,,0.6,,2.89,variable,,1.1,,,,22,28,6,,,,FishBase
Hyphessobrycon herbertaxelrodi,10654,Black neon tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.6,,0.7,,2.91,variable,,1.4,,,,23,27,4,,,,FishBase
Hyphessobrycon megalopterus,10658,Black phantom tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.6,,0.7,,3.21,variable,,1.6,,,,22,28,6,,,,FishBase
Hyphessobrycon rosaceus,12383,Rosy tetra,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,2.9,,,,,,,,24,28,4,,,,FishBase
Iriatherina werneri,22673,Threadfin rainbowfish,1,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Iriatherina,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.5,,1.9,,2.78,variable,,4,,,,26,28,2,23,30,7,FishBase
Julidochromis regani,8610,Convict julie,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Julidochromis,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,guarders,nesters,,,,,,0.9,,1.2,3.6,,,7.066587392,3.2,,,13,22,25,3,,,,FishBase
Kryptopterus bicirrhis,10920,Glass catfish,1,Animalia,Chordata,Actinopterygii,Siluriformes,Siluridae,Kryptopterus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.6,,2.2,,3.89,predator,,5.7,,,7,21,26,5,,,,FishBase
Kuhlia malo,60749,,1,Animalia,Chordata,Actinopterygii,Perciformes,Kuhlidae,Kuhlia,Freshwater,Nonnative,Reported,,,,,,,1,1,,,dioecism,external,nonguarders,,,,,,,,,,3.4,,,,,,,,,,,,,,FishBase
Labidochromis caeruleus,2327,Blue streak hap,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Labidochromis,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,in mouth,bearers,external brooders,,,,,,,,,2.6,,,,,,,,23,26,3,,,,FishBase
Leiopotherapon unicolor,4800,Spangled perch,1,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,Leiopotherapon,Freshwater_Brackish,Nonnative,Failed,0,,LC,,,1,1,,,,dioecism,external,guarders,clutch tenders,two seasonal peaks per year,47948,1727,94169,,,1,1.1,4.1,,predator,,3.9,,,30,15,30,15,5,44,39,FishBase
Limnothrissa miodon,1550,Lake Tanganyika sardine,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Dorosomatidae,Limnothrissa,Freshwater,Nonnative,Invasive,1,Fill ecological niche; Diffused from other countries; Fisheries,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,Two seasonal peaks per year,,6000,,,0.7,,1,,2.71,selective plankton feeding,,2.5,,,13.75,21,29,8,,,,FishBase
Luciocephalus pulcher,4503,Pikehead,1,Animalia,Chordata,Actinopterygii,Anabantiformes,Osphronemidae,Luciocephalus,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,bearers,external brooders,,,,,,,,,3.4,,,,,,,,22,26,4,,,,FishBase
Luciosoma setigerum,16110,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Luciosoma,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,3.1,,3.2,,4.2,predator,,11.8,,,,,,,,,,FishBase
Macrognathus zebrinus,12297,Zebra spiny eel,1,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,Freshwater,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,2.1,,2.5,3.3,,,,8.7,,,25,23,26,3,,,,FishBase
Marosatherina ladigesi,6300,Celebes rainbowfish,1,Animalia,Chordata,Actinopterygii,Atheriniformes,Telmatherinidae,Marosatherina,Freshwater,Nonnative,Reported,,Ornamental,VU,,,,1,1,,,dioecism,external,nonguarders,brood hiders,,499,88,910,,,,,3.1,,,,,,,,22,28,6,,,,FishBase
Mastacembelus mastacembelus,54832,Euphrates spiny eel,1,Animalia,Chordata,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Freshwater,Nonnative,Established,1,,LC,,,1,1,,,,dioecism,external,nonguarders,,,,,,,,,,3.9,,,,,13,,46.5,,,,,,,FishBase
Mayaheros beani,4780,Green guapote,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Mayaheros,Freshwater_Brackish,Nonnative,Failed,0,Ornamental,LC,,,,,1,,,dioecism,external,guarders,clutch tenders,,,,,,1.8,,1.9,3.2,,,,6.9,,,,23,25,2,,,,FishBase
Maylandia greshakei,2369,William's mbuna,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Maylandia,Freshwater,Nonnative,Reported,,Ornamental,NT,,,,,1,,,dioecism,in mouth,bearers,external brooders,,,,,,1,,1.3,,2,selective plankton feeding,,3.3,,,,24,26,2,,,,FishBase
Maylandia lombardoi,2374,,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Maylandia,Freshwater,Nonnative,Established,1,Ornamental,LC,,,,,1,,,dioecism,in mouth,bearers,external brooders,,,,50,,0.8,,1.1,,2.67,variable,,2.6,,,,24,26,2,,,,FishBase
Megalobrama terminalis,4789,Black Amur bream,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Megalobrama,Freshwater,Nonnative,Failed,0,Aquaculture,,,,1,1,,,,dioecism,external,nonguarders,,,,,,,,6,8.8,3.3,,,,28.6,,,36.70000076,10,24,14,,,,FishBase
Megalops atlanticus,1079,Tarpon,1,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,Freshwater_Brackish_Marine,Nonnative,Established,1,Aquaculture,VU,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,12000000,,,9.25,10,,3.61,predator,,,57,,189.5,10,40,30,,,,FishBase
Mesoheros festae,12308,Guayas cichlid,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Mesoheros,Freshwater,Nonnative,Established,1,Ornamental,,,,,,1,,,dioecism,external,guarders,nesters,,,,,,1.5,,1.6,,3.6,predator,,5.9,,,,26,28,2,,,,FishBase
Mesoheros ornatus,47064,,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Mesoheros,Freshwater,Nonnative,Reported,,Ornamental,LC,,,,,1,,,dioecism,external,guarders,nesters,,,,,,,,,3.2,,,,,,,,24,27,3,,,,FishBase
Mesonauta festivus,11140,Flag cichlid,1,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Mesonauta,Freshwater,Nonnative,Reported,,Ornamental,,,,,,1,,,dioecism,external,guarders,clutch tenders,,350,200,500,,1,,1.4,,2.51,variable,,3.5,,,,25,34,9,,,,FishBase
Mesopristes argenteus,6464,Silver grunter,1,Animalia,Chordata,Actinopterygii,Centrarchiformes,Terapontidae,Mesopristes,Freshwater_Brackish_Marine,Nonnative,Failed,0,,LC,,,1,1,1,,,dioecism,external,guarders,clutch tenders,,,,,,2.1,,2.3,,4.02,predator,,8.3,,,,,,,,,,FishBase
Metzia lineata,17288,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Metzia,Freshwater,Nonnative,Established,1,,LC,,,,1,1,,,dioecism,external,nonguarders,,,,,,,,,,3.1,,,,,,,13.10000038,,,,,,,FishBase
Metzia mesembrinum,59800,,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Xenocyprididae,Metzia,Freshwater,Nonnative,Established,1,,,,,,1,1,,,dioecism,external,nonguarders,,,,,,,,,,3.1,,,,,,,,,,,,,,FishBase
