Species,SpecCode,CommonName,ITOFF.Group,Kingdom,Phylum,Class,Order,Family,Genus,System,Group,Status,EstabwildSuccess,Means_Introduction,IUCN_Status,Polar,Boreal,Temperate,SubTropical,Tropical,Impacting,Impacted_by,ReproMode,Fertilization,RepGuild1,RepGuild2,Spawning,MeanFecundity,MinFecundity,MaxFecundity,BroodSize,AgeMaturity_Years_Estimate,MeanAgeMaturity_Years,GenerationTime_Years_Estimate,TrophicLevel_Estimate,TrophicLevel,FeedingType,Relative_BrainWeight,Longevity_Years_Estimate,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,TolerableTemp_min,TolerableTemp_max,Temp_Range_tolerable,Sources
Devario malabaricus,4760,Malabar danio,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Devario,Freshwater,Nonnative,Invasive,1,Ornamental,LC,,,,,1,,,dioecism,external,nonguarders,brood hiders,,,,,250,1.4,,1.9,,3.25,predator,,4.7,,,,18,25,5,,,,USGS-NAS; FishBase
Dorosoma cepedianum,1604,American gizzard shad,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,Freshwater_Brackish_Marine,Nonnative,Invasive,1,Fishing recreation; Passive; Stock contaminant,LC,,1,1,1,1,,Hypophthalmichthys molitrix (Competition); Oreochromis aureus (Competition),dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,283158.5,22405,424300.6667,,,2.25,6.1,,2.4,filtering plankton,,5.9,,,,12.8,26.8,14,,,,Global Register of Introduced and Invasive Species 2021; USGS-NAS; FishBase; (Irons et al.; 2007)
Dorosoma petenense,1606,Threadfin shad,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,Freshwater_Brackish_Marine,Nonnative,Invasive,1,Fishing recreation; Forage; Fisheries,LC,,,1,1,1,,Hypophthalmichthys nobilis (Competition); Hypomesus nipponensis (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,two seasonal peaks per year,10900,800,21003.5,,,2,2.2,,2.82,selective plankton feeding,,7.7,,,,20,30,10,,,,USGS-NAS; FishBase
Enteromius anoplus,8600,Chubbyhead barb,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,Freshwater_Brackish,Nonnative,Established,1,Forage,LC,,,,1,,,Micropterus dolomieu (Predation); Micropterus punctulatus (Predation),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1,,1.3,,2.69,variable,,3.2,,,8.075000048,5,22,17,,,,IUCN; Fishbase
Eremichthys acros,2751,Desert dace,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Eremichthys,Freshwater,Nonnative,Established,,Conservation,VU,,,1,1,,,,dioecism,external,nonguarders,,,,,,,1.2,,1.6,2.6,,,,3.8,,,,,,,,,,USGS-NAS; FishBase
Erimyzon sucetta,2987,Lake chubsucker,1,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Erimyzon,Freshwater,Nonnative,Established,,Fishing recreation,LC,,,1,,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,20000,,1.9,,2.3,,3.05,,,,8,,,4,20,16,,,,USGS-NAS; FishBase
Esox niger,2712,Chain pickerel,1,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Freshwater,Nonnative,Established,0.666666667,Intentional stocking; Passive; Diffused from other countries; Fishing recreation,LC,,,1,,,,Esox lucius (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,15468,936,30000,,,2.5,6,,3.29,predator,,19.1,,,74.5,10,20,10,,,,USGS-NAS; FishBase
Etheostoma blennioides,3402,Greenside darter,1,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Nonnative,Established,,,LC,,,1,,,,Neogobius melanostomus (Competition; Predation),dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,1118,404,1816,,2,,2.7,,3.36,predator,,7.2,,,,4,18,14,,,,USGS-NAS; FishBase
Etheostoma edwini,3417,Brown darter,1,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Nonnative,Invasive,,Other,LC,,,1,1,,Etheostoma okaloosae (Unclear),,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.8,,1.1,3.2,,,,2.4,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
Etheostoma exile,3420,Iowa darter,1,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Nonnative,Invasive,,,LC,,1,1,,,Ptychocheilus lucius (Unclear); Xyrauchen texanus (Unclear),,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,1299,550,2048,,1,,1.4,,3.17,predator,,3.2,,,,,,,,,,USGS-NAS; CABI-ISC; Fishbase; IUCN
